id,position,matchId,participantId
ef8cd26f-ed85-4b24-aea7-1fdb96ac43f1,A,08141055-3714-490f-b253-0984a2923e7a,1d0b5b4d-774d-42da-b173-0fec1dfb614b
0b2a9ab5-c01e-431d-b82d-7bed5e3ce44b,A,6d9c3023-11d9-4cc0-ab5d-ef39520e1cff,bcaac989-32b4-4399-8176-b8fa87cbf2a5
005d7040-279d-4297-aa23-b1fe2d63e4d9,B,709c365b-8b4e-4caf-8aac-f8c92cafb676,5e3dff11-db47-4ce4-8663-0a96cf06676b
3d8eec57-cb09-419e-b119-5720243caa6e,A,7ee34fcd-94b3-4122-8ffb-e36ec86744be,0af56dc0-24b8-4c99-926b-b5304c784299
b659078f-2e4c-4c46-a1b5-a5746531c573,A,59bab512-c0a0-4337-a975-38041dca52c0,99290800-a04d-459d-876a-038d2b97dfdd
9b4b12f1-616f-4a8b-ac93-a6432e16bf2f,B,a08707f3-d9a0-445e-849d-fa13e79cbc17,99290800-a04d-459d-876a-038d2b97dfdd
b899b0b7-3d52-4aaf-9d0c-787212b8e6a2,B,08141055-3714-490f-b253-0984a2923e7a,b47e1331-7dea-445a-9e5b-af46a0a0e93f
628ef5eb-689d-44b8-a8b0-195886c2c7ed,B,6d9c3023-11d9-4cc0-ab5d-ef39520e1cff,bd6009da-fbdc-4bee-826c-ce14bb6502cc
8159f036-aaec-407a-bfe6-a2f048c17722,A,709c365b-8b4e-4caf-8aac-f8c92cafb676,4b795d34-7fe7-42b0-b41f-cd0ef56e06c5
aca6e3bc-a77c-4ff6-96e7-28720476273c,B,7ac46b51-a9c0-400c-8b57-2800c5fd8fa9,68abe780-fa56-443e-8ffc-107e14e8bfbd
d9e298d7-8c8e-4323-98ed-6d40cc68d634,A,2dae2623-4469-4454-b06f-2c691dfbcebf,cd2b0fb6-b32b-40d9-98e9-8646267de395
76ddfa1d-977b-47fe-9fb7-c1e7c21a1443,A,84bcff68-a81e-4ac3-8b9b-994855168831,3ab49b26-459e-4c19-9cd1-5e83c7be5e08
f4f19d49-73f9-433e-aebb-424208bc7a39,A,7ac46b51-a9c0-400c-8b57-2800c5fd8fa9,ffb1d8dd-b2a5-4d47-8564-7699706e0333
f1682f20-2cfb-4fa0-889b-1ed8be0b60e9,B,2dae2623-4469-4454-b06f-2c691dfbcebf,2ef30e0b-4941-4901-a988-088456aa02bc
37e19481-bd03-478f-b2bb-e7abe5b537e4,B,84bcff68-a81e-4ac3-8b9b-994855168831,dfbf2f18-67e6-43dc-800b-0c9c09b8090c
f82b0132-6e48-4671-a305-7b2aee1726ca,A,8967145e-0a98-4389-babe-d209d6004e55,fa38f486-0be4-4774-95b0-abc06c662e3c
9edba93c-f838-4773-baa4-fd2b01b49965,B,8967145e-0a98-4389-babe-d209d6004e55,c5a85e99-e355-4e37-9e18-14fab7c8f1be
bfc98a22-4be3-48ad-918a-1c7613821651,B,9eb7b2f9-66eb-481d-9901-7be69031e980,1f67f0e1-0247-4f98-b4be-749d65f1b44c
3a203a79-88f4-402e-bad3-2eb82cad9cb3,A,9eb7b2f9-66eb-481d-9901-7be69031e980,cf6c75cd-f3f1-4528-b209-6c8c79db3c8c
7e22ee9b-3455-4d69-9f49-c923e75d676d,B,317e6a4a-0754-4487-95d9-4f2aae63bef2,83d0d485-cf82-4042-8f6d-68b21ca724ad
c2c40699-3e00-43da-b820-a3c415e07af6,A,317e6a4a-0754-4487-95d9-4f2aae63bef2,919cc10b-bf11-4777-b8c2-98bc1ff627e9
